Video Number,Video Category,Type of Shots,Number of Frames Extracted,Ball Color,Environment,Link
1,YouTube Shorts,Layups,205,Orange,Indoors,https://youtube.com/shorts/PNWtLkEbjUo?si=YsjtipRty6XKmwtu
2,YouTube Shorts,Dunk,66,Orange,Indoors,https://www.youtube.com/shorts/SAVKpoH2YPs
3,YouTube Shorts,Layups,249,Orange,Indoors,https://www.youtube.com/shorts/3UEitmXTNAg
4,YouTube Shorts,Layups,111,Orange,Indoors,https://www.youtube.com/shorts/5PXdig269Q8
5,YouTube Shorts,Throws,110,Orange,Indoors,https://www.youtube.com/shorts/gPkBpZhvDyE
6,YouTube Shorts,"Throws, layups",298,White red blue,Outdoors,https://www.youtube.com/shorts/rSBqoHGfztM
7,YouTube Shorts,,73,Black,Outdoors,https://www.youtube.com/shorts/G1WawtWaGzA
8,YouTube Shorts,,171,Orange,"Outdoors, Indoors",https://youtube.com/shorts/lLyIqHKH7nw?si=X6U8VFjwFVDBeAQY
9,YouTube Shorts,,185,Orange,"Outdoors, Indoors",https://www.youtube.com/shorts/FeprGhJlNvw
10,YouTube Shorts,,129,Orange,Outdoors,https://www.youtube.com/shorts/bOVbkELNbmI
11,YouTube Shorts,,83,Orange,Outdoors,https://www.youtube.com/shorts/w1YRG1UhgPY
12,YouTube Shorts,,204,"Orange, Red blue",Outdoors,https://www.youtube.com/shorts/CLPT8LjQ8rc
13,YouTube Shorts,,377,Orange,Outdoors,https://www.youtube.com/shorts/l8MyPg5Xk2c
14,YouTube Shorts,,106,Orange,Indoors,https://youtube.com/shorts/5sUhFYATYeM?si=TrdhImizptxou7Tg
15,External Contributor,,154,Orange,Indoors,None
16,External Contributor,,68,Orange,Indoors,None
17,External Contributor,,123,Orange,Indoors,None
18,External Contributor,,124,Orange,Indoors,None
19,External Contributor,,232,Orange,Indoors,None
20,External Contributor,,168,Orange,Indoors,None
21,External Contributor,,189,Orange,Indoors,None
22,External Contributor,,239,Orange,Indoors,None
23,External Contributor,,244,Orange,Indoors,None
24,External Contributor,,245,Orange,Indoors,None
25,External Contributor,,236,Orange,Indoors,None
26,External Contributor,,195,Orange,Indoors,None
27,External Contributor,,157,Orange,Indoors,None
28,External Contributor,,159,Orange,Indoors,None
