                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0109,                 1.2484,                 1.2535,                0.70888,                0.73532,                0.68195,                0.46039,                 1.1427,                 1.4414,                 1.4551,             0.00047507,             0.00047507,             0.00047507
                      2,                 1.0478,                0.89375,                 1.2868,                0.86983,                0.75726,                 0.8374,                0.61996,                 1.0288,                 1.1492,                 1.3588,             0.00094198,             0.00094198,             0.00094198
                      3,                0.99335,                0.78994,                 1.2466,                0.93246,                0.85785,                0.93145,                0.69042,                0.95838,                0.69365,                 1.3045,              0.0013995,              0.0013995,              0.0013995
                      4,                0.94261,                 0.7203,                 1.2161,                0.94547,                0.86479,                0.94353,                0.71302,                0.90809,                0.66339,                 1.2455,              0.0013866,              0.0013866,              0.0013866
                      5,                0.89654,                0.64436,                 1.1847,                0.92956,                0.86947,                0.93634,                0.73092,                0.84462,                0.69775,                 1.2021,              0.0013866,              0.0013866,              0.0013866
                      6,                0.86041,                0.59869,                 1.1596,                0.96018,                0.91782,                0.97107,                0.75994,                0.81332,                0.53308,                 1.1605,              0.0013724,              0.0013724,              0.0013724
                      7,                 0.8398,                0.57028,                 1.1445,                0.95588,                0.90721,                0.96601,                0.76261,                0.79374,                0.53386,                 1.1625,              0.0013583,              0.0013583,              0.0013583
                      8,                0.81026,                0.53788,                 1.1215,                0.94561,                0.91941,                0.96624,                0.76608,                0.78038,                0.49769,                 1.1528,              0.0013441,              0.0013441,              0.0013441
                      9,                0.79929,                0.51836,                 1.1169,                0.97234,                0.92812,                0.97402,                0.78496,                0.74139,                0.46096,                 1.1219,                0.00133,                0.00133,                0.00133
                     10,                0.77412,                0.49613,                 1.1019,                0.96017,                 0.9407,                 0.9764,                0.79225,                0.73406,                0.44723,                 1.1112,              0.0013158,              0.0013158,              0.0013158
                     11,                 0.7717,                 0.4947,                 1.1032,                 0.9701,                0.94428,                0.97949,                0.79236,                0.75266,                0.42689,                 1.1224,              0.0013017,              0.0013017,              0.0013017
                     12,                0.74841,                0.46964,                 1.0855,                0.96875,                0.94527,                0.98111,                0.79825,                0.73855,                0.42268,                 1.1121,              0.0012875,              0.0012875,              0.0012875
                     13,                0.74599,                0.46619,                 1.0796,                0.96346,                0.94259,                0.97899,                0.80134,                0.72277,                0.41581,                 1.1135,              0.0012734,              0.0012734,              0.0012734
                     14,                0.73326,                0.45309,                 1.0789,                0.97622,                0.94096,                0.98234,                0.80713,                0.70139,                0.40274,                  1.101,              0.0012592,              0.0012592,              0.0012592
                     15,                0.72458,                0.44562,                 1.0713,                0.97426,                0.94668,                 0.9829,                0.80498,                0.71586,                0.39837,                 1.1127,              0.0012451,              0.0012451,              0.0012451
                     16,                0.72154,                0.44024,                 1.0717,                0.97229,                 0.9592,                0.98489,                0.81725,                0.69045,                0.37855,                 1.0858,              0.0012309,              0.0012309,              0.0012309
                     17,                0.71169,                0.42864,                 1.0582,                0.96861,                0.95724,                0.98329,                0.81766,                 0.6949,                0.38456,                 1.0788,              0.0012168,              0.0012168,              0.0012168
                     18,                 0.7014,                0.41957,                 1.0599,                0.97725,                0.95801,                0.98497,                0.81567,                 0.6861,                0.36461,                 1.0638,              0.0012026,              0.0012026,              0.0012026
                     19,                 0.6988,                0.41741,                 1.0537,                0.97208,                0.95435,                0.98557,                0.81574,                0.68546,                0.37193,                 1.0738,              0.0011885,              0.0011885,              0.0011885
                     20,                0.69125,                0.40881,                 1.0476,                0.97502,                0.95411,                0.98533,                0.81665,                0.69246,                0.37936,                 1.0799,              0.0011744,              0.0011744,              0.0011744
                     21,                0.68151,                0.40349,                 1.0506,                0.97685,                0.95305,                0.98434,                0.81368,                0.68207,                0.37023,                 1.0631,              0.0011602,              0.0011602,              0.0011602
                     22,                 0.6727,                0.39485,                 1.0332,                0.97613,                0.95563,                0.98605,                0.82776,                0.66129,                0.35568,                 1.0486,              0.0011461,              0.0011461,              0.0011461
                     23,                0.66892,                0.39637,                 1.0369,                0.98211,                0.95899,                0.98687,                0.82682,                 0.6643,                0.34511,                 1.0634,              0.0011319,              0.0011319,              0.0011319
                     24,                0.66213,                0.38597,                 1.0271,                0.96882,                0.96742,                0.98818,                0.82962,                0.65924,                 0.3425,                 1.0533,              0.0011178,              0.0011178,              0.0011178
                     25,                0.66106,                0.38129,                 1.0308,                0.97615,                0.96161,                0.98781,                0.83371,                0.65897,                0.33664,                 1.0486,              0.0011036,              0.0011036,              0.0011036
