                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6818,                 3.5955,                 1.4755,                0.00776,                0.70306,                0.15405,                 0.0726,                 1.3778,                 3.4632,                  1.198,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.6561,                 3.4544,                 1.4715,                0.00926,                0.77237,                0.23879,                0.11654,                 1.3582,                  3.391,                  1.142,             0.00015097,             0.00015097,             0.00015097
                      3,                  1.705,                  3.024,                 1.4293,                0.01206,                0.80565,                0.25104,                0.13194,                  1.365,                 3.2426,                  1.111,             0.00022369,             0.00022369,             0.00022369
                      4,                 1.5977,                 2.5466,                 1.3509,                0.01561,                0.85506,                0.27456,                0.14982,                 1.3855,                 3.0543,                 1.1027,             0.00028962,             0.00028962,             0.00028962
                      5,                 1.5959,                 2.2188,                 1.3354,                0.97605,                0.16553,                0.43336,                0.24151,                 1.4275,                 2.7312,                 1.1174,             0.00034877,             0.00034877,             0.00034877
                      6,                 1.5222,                  1.808,                 1.2695,                0.96153,                0.32071,                0.55218,                0.32094,                 1.3991,                 2.4196,                  1.131,             0.00040112,             0.00040112,             0.00040112
                      7,                  1.611,                 1.7124,                 1.3058,                0.95824,                0.38113,                0.57212,                0.32147,                 1.4145,                 2.2976,                 1.1587,             0.00044668,             0.00044668,             0.00044668
                      8,                 1.5092,                 1.5503,                 1.2755,                0.92088,                0.35321,                 0.5942,                0.31928,                  1.432,                 2.2639,                 1.1709,             0.00048545,             0.00048545,             0.00048545
                      9,                 1.5032,                 1.4244,                 1.2783,                0.88646,                0.48267,                 0.6749,                 0.3933,                 1.3776,                 1.9047,                 1.1612,             0.00051744,             0.00051744,             0.00051744
                     10,                 1.4994,                 1.4233,                 1.2827,                0.81849,                 0.6665,                0.80321,                0.47101,                 1.3065,                 1.5464,                 1.1397,             0.00054263,             0.00054263,             0.00054263
                     11,                 1.4305,                 1.3317,                 1.2377,                0.77496,                0.77263,                0.82019,                0.48597,                  1.327,                 1.3467,                 1.1306,             0.00056103,             0.00056103,             0.00056103
                     12,                  1.429,                 1.2597,                 1.2563,                0.77192,                0.75443,                0.83644,                0.50627,                 1.2682,                 1.1962,                 1.1061,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.4292,                 1.1954,                 1.2389,                0.85183,                0.74837,                0.85009,                0.52433,                 1.2687,                 1.1065,                 1.1237,             0.00057745,             0.00057745,             0.00057745
                     14,                 1.3728,                   1.13,                 1.2246,                0.85448,                0.76761,                 0.8494,                 0.5067,                 1.2943,                 1.1152,                 1.1471,             0.00057548,             0.00057548,             0.00057548
                     15,                 1.3564,                 1.1576,                 1.2221,                0.87497,                0.77602,                 0.8653,                 0.5313,                 1.2673,                 1.0895,                 1.1403,             0.00056672,             0.00056672,             0.00056672
                     16,                 1.2692,                 1.2629,                 1.1876,                0.88083,                0.76751,                0.87481,                0.54853,                 1.2072,                 1.1172,                  1.111,             0.00055117,             0.00055117,             0.00055117
                     17,                 1.2333,                 1.1607,                 1.1785,                0.88282,                0.76605,                0.88483,                 0.5674,                 1.1864,                 1.1392,                 1.0982,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.2612,                 1.1104,                 1.1357,                0.82587,                0.76552,                0.85533,                0.52741,                 1.2772,                 1.2148,                 1.1431,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.2302,                 1.0277,                 1.1321,                0.85537,                0.75778,                0.86768,                0.54573,                 1.2455,                 1.1447,                  1.126,               0.000467,               0.000467,               0.000467
                     20,                 1.2199,                 1.1034,                 1.1598,                0.92898,                0.80022,                0.90692,                0.61206,                 1.1145,                0.95078,                 1.0659,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.1538,                0.95822,                 1.1201,                0.94277,                0.82322,                0.91958,                0.62545,                 1.0864,                0.88902,                 1.0565,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.1549,                0.98909,                 1.1159,                0.91357,                0.86455,                0.93244,                0.63346,                 1.0698,                 0.8551,                 1.0495,             0.00029723,             0.00029723,             0.00029723
                     23,                 1.1278,                0.96707,                 1.1194,                0.92615,                0.88169,                0.93803,                0.64435,                 1.0584,                0.83597,                 1.0408,             0.00024064,             0.00024064,             0.00024064
                     24,                 1.1363,                0.92834,                 1.0962,                0.94098,                0.87544,                0.94859,                0.65087,                 1.0425,                0.80958,                 1.0337,             0.00018406,             0.00018406,             0.00018406
                     25,                 1.0986,                0.91002,                 1.0922,                0.94705,                  0.877,                 0.9517,                0.65937,                 1.0222,                 0.7902,                 1.0249,             0.00012747,             0.00012747,             0.00012747
