                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4181,                 4.0409,                 4.2742,                0.00403,                0.39442,                0.01214,                0.00319,                 3.2296,                 4.0832,                 4.1591,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.2207,                 4.2283,                 4.3216,                0.00408,                0.39668,                0.01294,                0.00306,                 3.2293,                 4.0823,                 4.1587,             0.00014304,             0.00014304,             0.00014304
                      3,                 3.2275,                 4.1227,                 4.2665,                0.00473,                0.38683,                0.01284,                0.00342,                  3.228,                 4.0827,                  4.158,              0.0001992,              0.0001992,              0.0001992
                      4,                 3.2202,                 4.1539,                 4.2332,                0.00445,                0.36332,                0.00698,                0.00186,                 3.2268,                 4.0841,                 4.1575,             0.00023993,             0.00023993,             0.00023993
                      5,                  3.189,                 4.1126,                 4.2078,                0.00438,                0.36795,                 0.0072,                 0.0019,                  3.225,                 4.0838,                  4.157,             0.00026522,             0.00026522,             0.00026522
                      6,                 3.1535,                 4.0388,                 4.1749,                0.00442,                0.36687,                0.00722,                0.00187,                 3.2222,                 4.0825,                 4.1564,             0.00027508,             0.00027508,             0.00027508
                      7,                 3.1073,                 3.9654,                 4.1628,                0.00453,                0.37042,                0.00825,                0.00214,                 3.2176,                 4.0805,                 4.1559,             0.00026951,             0.00026951,             0.00026951
                      8,                 3.1021,                 3.9807,                 4.1177,                0.00441,                0.37233,                0.02614,                0.00981,                 3.2091,                 4.0784,                 4.1544,              0.0002485,              0.0002485,              0.0002485
                      9,                 3.0531,                 3.9299,                 4.0945,                0.00466,                0.37974,                 0.0262,                0.01037,                 3.1954,                  4.074,                  4.152,             0.00021206,             0.00021206,             0.00021206
                     10,                 3.0425,                 3.8362,                 4.0696,                0.00471,                0.38221,                0.01736,                0.00606,                 3.1852,                 4.0733,                  4.151,             0.00016019,             0.00016019,             0.00016019
                     11,                 3.1099,                 3.9266,                  4.074,                0.00453,                0.37727,                0.01223,                0.00324,                 3.1779,                 4.0745,                 4.1511,             9.2885e-05,             9.2885e-05,             9.2885e-05
