                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7127,                  3.231,                 1.5438,                0.21439,                0.27828,                 0.2158,                0.11487,                 1.5166,                 2.3022,                 1.3765,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.5928,                 1.8789,                 1.4644,                0.57356,                0.63802,                0.62555,                0.34451,                 1.3944,                 2.9832,                 1.2545,             0.00015097,             0.00015097,             0.00015097
                      3,                 1.5939,                 1.3966,                 1.4296,                 0.5387,                0.60377,                0.56841,                0.32029,                 1.3674,                 2.1591,                  1.195,             0.00022369,             0.00022369,             0.00022369
                      4,                 1.4135,                 1.1904,                 1.3194,                0.70224,                0.70398,                0.76745,                0.45896,                 1.2827,                 2.2904,                 1.1631,             0.00028962,             0.00028962,             0.00028962
                      5,                 1.4254,                  1.161,                 1.3258,                0.78232,                0.77285,                0.84625,                 0.5055,                 1.2491,                 1.7256,                 1.1573,             0.00034877,             0.00034877,             0.00034877
                      6,                 1.3493,                 1.0593,                 1.2812,                0.86521,                0.73682,                0.84465,                0.52778,                 1.2306,                 1.7745,                    1.2,             0.00040112,             0.00040112,             0.00040112
                      7,                 1.4134,                 1.0668,                 1.2806,                0.83292,                0.74005,                 0.8304,                0.51468,                 1.2552,                  1.621,                 1.2001,             0.00044668,             0.00044668,             0.00044668
                      8,                 1.3219,                 0.9998,                 1.2417,                0.87307,                0.82297,                0.87227,                0.54614,                 1.2561,                 1.1594,                 1.2015,             0.00048545,             0.00048545,             0.00048545
                      9,                 1.3059,                 0.9292,                 1.2347,                 0.7831,                0.75447,                0.79371,                0.47555,                 1.2933,                 2.6222,                 1.2435,             0.00051744,             0.00051744,             0.00051744
                     10,                 1.3721,                0.96811,                 1.2564,                0.86602,                0.72303,                0.84402,                0.50646,                 1.2884,                 1.8844,                 1.2204,             0.00054263,             0.00054263,             0.00054263
                     11,                 1.2538,                0.91555,                 1.1974,                0.85894,                0.83152,                0.90108,                0.54805,                   1.26,                 1.3157,                 1.2031,             0.00056103,             0.00056103,             0.00056103
                     12,                 1.2426,                0.86804,                 1.2156,                0.92454,                0.80635,                0.90963,                 0.5541,                 1.2372,                  1.023,                 1.2058,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.2391,                0.88092,                 1.1897,                0.84687,                0.86838,                0.86327,                0.53986,                  1.181,                 1.1297,                 1.1711,             0.00057745,             0.00057745,             0.00057745
                     14,                 1.1787,                0.80264,                 1.1468,                0.94379,                0.91259,                 0.9487,                0.61077,                 1.1325,                0.97644,                 1.1415,             0.00057548,             0.00057548,             0.00057548
                     15,                 1.1889,                0.77832,                 1.1734,                 0.9346,                0.92426,                0.96056,                0.63772,                    1.1,                 0.8892,                 1.1266,             0.00056672,             0.00056672,             0.00056672
                     16,                 1.1217,                0.89649,                 1.1356,                0.84261,                0.92195,                0.88837,                 0.5925,                 1.1178,                0.74969,                 1.1316,             0.00055117,             0.00055117,             0.00055117
                     17,                 1.1862,                0.84189,                 1.2025,                0.81891,                 0.9076,                0.85601,                0.56611,                 1.1126,                0.82963,                 1.1336,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.1471,                0.79213,                 1.0932,                0.92634,                0.89182,                0.94751,                0.64891,                 1.1081,                0.77813,                 1.1328,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0977,                0.71449,                 1.1137,                 0.9226,                0.89462,                0.94977,                0.65597,                 1.0666,                0.81428,                 1.1035,               0.000467,               0.000467,               0.000467
                     20,                 1.0197,                0.70051,                 1.0931,                 0.9403,                0.88792,                0.95475,                0.66729,                   1.02,                0.79052,                 1.0816,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.0455,                0.65281,                 1.0967,                0.93557,                0.88065,                0.95502,                0.66844,                 1.0048,                0.73004,                 1.0762,             0.00035382,             0.00035382,             0.00035382
                     22,                0.98636,                0.66848,                 1.0717,                0.96426,                0.90035,                0.95878,                0.67928,                0.98236,                0.67746,                 1.0623,             0.00029723,             0.00029723,             0.00029723
                     23,                  1.028,                0.66487,                 1.0877,                0.94754,                0.92244,                 0.9587,                 0.6778,                0.97534,                0.65824,                 1.0533,             0.00024064,             0.00024064,             0.00024064
                     24,                0.99877,                0.64295,                 1.0581,                0.96515,                0.94063,                 0.9644,                0.68931,                0.95123,                0.63538,                 1.0357,             0.00018406,             0.00018406,             0.00018406
                     25,                0.96268,                0.62536,                 1.0736,                0.95293,                0.95131,                0.96402,                0.69392,                0.93427,                0.61512,                  1.025,             0.00012747,             0.00012747,             0.00012747
