                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6999,                 2.3754,                 1.5071,                0.52856,                0.56655,                0.54181,                0.27831,                 1.5449,                 2.1991,                 1.3236,             0.00022864,             0.00022864,             0.00022864
                      2,                 1.3725,                 1.2569,                 1.2657,                0.78726,                0.78559,                0.82239,                0.46202,                 1.4064,                 1.5914,                 1.3034,              0.0004529,              0.0004529,              0.0004529
                      3,                 1.4279,                 1.1297,                  1.286,                0.71273,                0.80126,                0.77326,                0.39743,                 1.5384,                 2.6495,                  1.426,             0.00065791,             0.00065791,             0.00065791
                      4,                 1.3438,                  1.039,                 1.2338,                0.83357,                0.76688,                0.84013,                0.48666,                 1.4176,                 1.8569,                 1.3596,             0.00084369,             0.00084369,             0.00084369
                      5,                 1.3839,                 1.0395,                 1.2461,                 0.7819,                0.71317,                0.77607,                0.39876,                  1.586,                 1.9801,                 1.5395,              0.0010102,              0.0010102,              0.0010102
                      6,                 1.4035,                 1.0306,                 1.2723,                0.72624,                0.72014,                0.74384,                 0.3824,                 1.6033,                 1.6489,                 1.4882,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.4107,                 1.0381,                 1.2697,                0.76543,                0.69643,                0.79111,                0.41983,                 1.5526,                 1.2191,                 1.4425,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.3602,                 1.0103,                 1.2502,                0.76257,                0.77525,                0.80088,                0.43505,                 1.5269,                  1.195,                 1.4671,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.2999,                0.94189,                 1.2402,                0.69781,                0.81493,                0.77487,                0.40686,                 1.5476,                 1.6352,                 1.5705,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.2906,                0.95715,                 1.2188,                0.90958,                0.87169,                0.93736,                0.56445,                 1.3657,                 1.0294,                 1.3706,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.2862,                0.93183,                 1.2044,                0.84781,                0.82996,                0.90036,                0.53993,                 1.3282,                0.89988,                 1.2697,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.2719,                0.89103,                 1.2081,                0.85995,                0.81722,                0.86232,                0.49122,                  1.424,                 1.2972,                 1.3498,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.2533,                0.86926,                 1.1885,                0.93141,                0.88968,                0.92269,                0.56256,                 1.3036,                0.82459,                 1.2669,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.2767,                0.85575,                  1.207,                0.87562,                0.90758,                0.90668,                0.52764,                 1.3648,                0.98365,                 1.2742,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.2378,                0.83901,                 1.1858,                0.92297,                0.93875,                0.95118,                0.59483,                 1.2472,                0.71968,                 1.1972,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.2015,                0.79784,                 1.1257,                0.86704,                0.92347,                0.93673,                0.58227,                 1.2316,                0.71793,                 1.1726,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.0817,                0.72167,                 1.1141,                0.95363,                0.88992,                0.94684,                0.63412,                 1.1617,                0.70874,                 1.1537,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.1145,                0.72653,                   1.13,                0.95534,                0.88603,                0.95065,                  0.628,                 1.2054,                0.74138,                 1.1768,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0932,                0.69456,                 1.1101,                0.93731,                0.93778,                0.95956,                 0.6411,                 1.1354,                0.68723,                 1.1336,               0.000467,               0.000467,               0.000467
                     20,                 1.0782,                 0.6761,                 1.1116,                0.93725,                0.93468,                0.96053,                 0.6477,                  1.166,                0.66263,                 1.1517,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.0418,                0.63446,                 1.0762,                0.96323,                0.94529,                0.96569,                0.66123,                 1.1294,                0.60733,                 1.1231,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.0413,                0.60907,                 1.0799,                0.96146,                0.93974,                0.96022,                0.67113,                 1.1015,                0.59024,                 1.1055,             0.00029723,             0.00029723,             0.00029723
                     23,                 1.0022,                0.58981,                 1.0743,                0.96465,                0.94012,                0.96461,                0.65882,                 1.1055,                0.58576,                  1.108,             0.00024064,             0.00024064,             0.00024064
                     24,                 0.9828,                0.56733,                 1.0577,                0.98352,                0.94294,                 0.9664,                0.68094,                 1.0533,                0.56523,                 1.0898,             0.00018406,             0.00018406,             0.00018406
                     25,                0.94959,                0.55867,                 1.0409,                0.97978,                0.94245,                 0.9649,                0.68202,                 1.0435,                0.55899,                 1.0818,             0.00012747,             0.00012747,             0.00012747
