                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3324,                 2.7035,                 1.4517,                0.01646,                0.96667,                0.53862,                 0.3287,                 1.2436,                  2.935,                 1.3088,             0.00022864,             0.00022864,             0.00022864
                      2,                 1.2429,                 1.5964,                 1.3364,                0.96112,                0.37817,                0.53721,                0.29564,                 1.3391,                 2.5569,                 1.3855,              0.0004529,              0.0004529,              0.0004529
                      3,                 1.2959,                 1.4631,                 1.3678,                0.68439,                0.62603,                0.76047,                0.46035,                 1.3752,                 1.9924,                 1.4414,             0.00065791,             0.00065791,             0.00065791
                      4,                 1.2401,                 1.3079,                 1.3087,                0.70627,                0.68413,                0.78815,                0.42855,                 1.3682,                 1.8631,                 1.4312,             0.00084369,             0.00084369,             0.00084369
                      5,                 1.2336,                 1.2664,                 1.3137,                0.69223,                    0.9,                0.87412,                0.53142,                  1.317,                 1.5548,                 1.4878,              0.0010102,              0.0010102,              0.0010102
                      6,                 1.2479,                 1.2241,                 1.3245,                0.75406,                0.91105,                0.89678,                0.51701,                 1.4056,                 1.6463,                 1.5047,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.2788,                 1.2545,                 1.3387,                0.58823,                0.91111,                0.77203,                0.47262,                 1.3726,                 1.5672,                 1.4882,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.2357,                 1.2827,                  1.326,                0.71541,                 0.9667,                0.93102,                 0.5426,                 1.3286,                 1.4448,                 1.5315,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.2102,                 1.2082,                 1.3137,                0.93943,                0.96432,                0.98773,                0.58453,                  1.315,                 1.4378,                 1.4133,              0.0010329,              0.0010329,              0.0010329
                     10,                  1.201,                 1.1691,                 1.2966,                0.91114,                0.90933,                0.96035,                0.57962,                 1.2557,                 1.1702,                  1.388,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.1988,                 1.1022,                 1.2874,                0.94237,                0.86379,                0.94973,                0.61387,                 1.1749,                 1.0559,                 1.3578,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.1863,                 1.0914,                 1.2759,                 0.9269,                0.94713,                0.96609,                0.57444,                 1.3758,                 1.0865,                 1.4696,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.1627,                 1.0517,                 1.2658,                0.86395,                      1,                0.95004,                0.59926,                 1.3041,                 1.0591,                 1.4152,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.1314,                 1.0164,                 1.2643,                0.83238,                      1,                0.97357,                0.62218,                 1.2836,                0.97395,                 1.3413,             0.00074994,             0.00074994,             0.00074994
                     15,                  1.122,                0.97596,                 1.2296,                 0.9225,                0.99782,                0.97395,                0.65909,                 1.2152,                0.92249,                 1.2795,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.0943,                 1.1335,                 1.2159,                0.92139,                0.96643,                0.99167,                0.66858,                 1.2538,                 1.1106,                 1.3323,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.0298,                 1.0021,                 1.2105,                0.95989,                0.94697,                0.98875,                0.67181,                  1.177,                 0.9656,                 1.2804,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.0471,                0.95191,                 1.1969,                0.92112,                0.98489,                0.99265,                0.66858,                 1.2631,                 0.9157,                  1.314,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0213,                0.92428,                 1.1879,                0.94815,                0.99417,                0.98509,                0.64081,                 1.2518,                0.90538,                 1.2844,               0.000467,               0.000467,               0.000467
                     20,                0.98862,                 0.8855,                 1.1946,                0.93929,                      1,                 0.9899,                0.64009,                  1.291,                0.85331,                   1.32,             0.00041041,             0.00041041,             0.00041041
                     21,                0.96517,                0.83366,                 1.1454,                0.92267,                      1,                0.98716,                0.66004,                 1.2083,                0.82309,                 1.2734,             0.00035382,             0.00035382,             0.00035382
                     22,                0.94555,                0.81203,                  1.137,                0.91547,                 0.9844,                0.98611,                0.68083,                 1.1626,                0.81717,                 1.2594,             0.00029723,             0.00029723,             0.00029723
                     23,                0.93809,                0.81295,                 1.1453,                0.96657,                0.98051,                0.99083,                0.71863,                 1.1513,                0.81304,                 1.2405,             0.00024064,             0.00024064,             0.00024064
                     24,                0.91518,                0.79165,                 1.1335,                0.94316,                0.96056,                0.98655,                0.72211,                   1.14,                0.78273,                 1.2238,             0.00018406,             0.00018406,             0.00018406
                     25,                0.88517,                0.76553,                 1.1136,                0.95865,                0.98737,                0.98958,                0.67164,                 1.1502,                0.77697,                 1.2305,             0.00012747,             0.00012747,             0.00012747
